Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RainTomorrow
2013-10-19,Richmond,5.6,26.8,0.0,,,NE,35.0,,NE,0.0,19.0,69.0,22.0,1028.4,1022.7,,,14.3,26.0,No,No
2017-05-28,Sydney,11.9,23.7,0.0,2.4,8.4,NNW,48.0,W,NW,13.0,24.0,83.0,37.0,1013.2,1009.0,1.0,6.0,13.3,23.2,No,No
2013-04-13,Nuriootpa,15.3,28.5,0.0,6.6,1.2,NW,52.0,NW,W,20.0,26.0,18.0,18.0,1015.3,1012.7,7.0,7.0,25.0,27.1,No,No
2011-05-01,Witchcliffe,9.3,21.2,0.8,,,SSE,30.0,,S,0.0,13.0,99.0,63.0,,,,,16.6,20.2,No,No
2017-01-27,SalmonGums,19.4,40.0,0.0,,,SSW,48.0,NNW,S,26.0,30.0,23.0,32.0,,,,,32.2,31.5,No,No
2013-03-16,Melbourne,17.0,23.0,,5.4,1.8,SW,56.0,W,SW,13.0,28.0,70.0,72.0,1015.3,1013.5,,,17.5,19.1,,
2016-03-28,Cobar,14.7,27.2,0.0,6.2,,SSW,24.0,,S,0.0,9.0,51.0,31.0,1016.5,1014.0,7.0,7.0,17.8,26.5,No,No
2015-02-13,Walpole,15.5,27.6,0.0,,,WNW,50.0,NNE,WSW,9.0,28.0,69.0,61.0,1008.3,1006.0,,,22.6,24.7,No,Yes
2013-01-26,Townsville,26.9,33.8,0.0,7.8,11.0,N,35.0,W,N,17.0,28.0,55.0,55.0,999.6,995.9,5.0,5.0,31.2,33.4,No,No
2015-04-05,Katherine,25.0,36.8,0.0,6.8,,W,26.0,NW,NNW,15.0,7.0,76.0,43.0,1010.6,1006.6,2.0,3.0,28.9,35.6,No,No
2016-11-09,Nhil,5.2,22.5,0.0,,,WSW,31.0,SSE,W,11.0,9.0,71.0,36.0,1013.9,1010.3,,,12.5,21.4,No,No
2012-05-10,Perth,13.6,21.7,11.6,0.8,5.0,SSW,20.0,,S,0.0,9.0,94.0,50.0,1024.4,1022.4,7.0,7.0,16.0,21.2,Yes,No
2013-08-18,Penrith,8.3,23.0,0.0,,,NW,39.0,N,WNW,19.0,13.0,41.0,25.0,,,,,17.0,22.6,No,No
2016-05-06,MelbourneAirport,13.7,25.1,0.0,7.0,9.8,N,65.0,N,NNW,48.0,24.0,56.0,32.0,1015.1,1013.8,2.0,6.0,16.5,24.4,No,No
2009-07-31,MountGambier,6.9,14.2,5.4,0.6,5.3,W,39.0,NW,WNW,11.0,24.0,82.0,86.0,1022.0,1021.5,7.0,7.0,10.8,12.1,Yes,Yes
2010-01-26,Ballarat,9.3,28.3,0.0,,,SSE,43.0,,SSW,0.0,15.0,54.0,28.0,1011.3,1011.3,7.0,,16.8,27.5,No,No
2011-07-16,Brisbane,12.0,16.4,10.8,2.6,0.6,SSE,22.0,SSW,S,4.0,4.0,91.0,77.0,1028.1,1024.1,8.0,7.0,13.1,15.9,Yes,No
2015-04-02,Uluru,22.3,28.0,0.0,,,SSE,31.0,SSE,SE,19.0,11.0,53.0,40.0,1017.3,1014.8,7.0,8.0,23.4,27.4,No,No
2012-06-07,Williamtown,9.8,14.8,12.4,2.6,,SW,33.0,SW,WNW,24.0,9.0,85.0,78.0,1022.5,1021.4,6.0,7.0,12.1,13.6,Yes,
2013-11-06,Ballarat,7.1,26.3,0.0,,,N,54.0,NNE,NNW,30.0,30.0,43.0,31.0,1018.3,1014.5,,,16.7,25.7,No,No
2016-12-01,Newcastle,14.8,31.5,0.0,,,,,,,0.0,,78.0,,,,7.0,,19.0,,No,No
2010-09-19,Wollongong,9.4,17.6,0.0,,,SSW,35.0,ENE,E,7.0,17.0,62.0,80.0,1022.2,1019.9,6.0,8.0,16.3,16.2,No,No
2011-08-31,Dartmoor,7.0,15.0,0.8,1.0,4.0,,,NNW,SW,9.0,9.0,100.0,82.0,1026.0,1025.2,,,10.1,13.1,No,No
2015-05-31,Darwin,22.9,28.8,13.8,3.4,1.4,E,39.0,ESE,E,20.0,15.0,85.0,76.0,1013.2,1010.3,7.0,7.0,24.9,27.4,Yes,No
2013-06-24,PerthAirport,9.8,22.3,2.4,2.4,7.2,NW,39.0,N,WNW,9.0,24.0,96.0,55.0,1013.8,1011.4,7.0,4.0,12.9,20.7,Yes,Yes
2010-01-15,Perth,19.1,33.8,0.0,12.0,13.2,ESE,39.0,SSE,SSW,15.0,19.0,50.0,35.0,1016.5,1014.2,0.0,0.0,23.1,30.9,No,No
2009-12-18,Townsville,23.7,31.3,0.0,12.0,12.6,NE,37.0,ESE,ENE,22.0,28.0,52.0,51.0,1015.6,1012.8,1.0,3.0,28.8,30.5,No,No
2015-03-22,Williamtown,18.7,22.3,,,,SE,41.0,N,SSE,17.0,13.0,89.0,78.0,1023.6,1021.2,8.0,1.0,19.8,22.1,,Yes
2013-06-01,NorahHead,14.1,21.4,0.0,,,N,41.0,SW,SW,15.0,17.0,80.0,65.0,1020.1,1015.0,,,17.0,19.6,No,Yes
2013-11-15,Newcastle,17.0,25.2,0.0,,,,,SW,SE,4.0,28.0,65.0,60.0,,,4.0,5.0,22.2,23.5,No,No
2013-09-10,Hobart,7.3,16.0,3.4,1.2,9.6,WNW,80.0,W,NW,44.0,43.0,40.0,40.0,991.1,992.0,,,13.1,13.6,Yes,Yes
2011-01-01,Penrith,19.0,39.1,0.0,,,ENE,31.0,NNE,N,4.0,9.0,78.0,19.0,,,,,24.9,38.3,No,No
2009-03-21,Perth,12.1,24.1,2.8,3.2,10.1,SW,28.0,NE,W,7.0,13.0,82.0,35.0,1016.8,1015.6,4.0,2.0,16.0,23.8,Yes,No
2014-09-07,Nhil,6.1,21.9,0.0,,,N,39.0,ENE,NNE,24.0,17.0,66.0,31.0,1027.1,1022.3,,,11.8,21.1,No,No
2012-07-27,Brisbane,10.3,22.6,0.0,2.2,7.4,W,26.0,SW,NNW,6.0,6.0,82.0,46.0,1015.0,1010.2,2.0,4.0,14.9,20.0,No,No
2012-06-16,Williamtown,8.0,15.2,,,,WNW,31.0,N,NE,7.0,2.0,83.0,77.0,1018.3,1015.3,7.0,8.0,12.1,14.9,,
2012-09-18,Wollongong,11.8,18.8,0.0,,,NNE,30.0,SE,NE,9.0,22.0,76.0,73.0,1018.4,1013.9,,,16.5,17.3,No,No
2016-10-13,SalmonGums,10.9,36.4,0.0,,,NNW,52.0,N,NW,28.0,22.0,18.0,11.0,,,,,25.0,34.1,No,No
2011-07-01,Darwin,19.9,30.9,0.0,4.8,10.7,ESE,33.0,E,NNW,17.0,22.0,58.0,41.0,1014.3,1011.7,1.0,3.0,24.5,30.2,No,No
2010-10-26,Nuriootpa,5.1,20.8,0.0,6.2,,WSW,48.0,W,W,19.0,28.0,67.0,40.0,1019.1,1018.9,2.0,3.0,14.8,20.5,No,No
2010-06-14,Moree,3.9,20.9,0.0,2.8,5.1,ENE,31.0,,ENE,0.0,7.0,74.0,43.0,1031.3,1027.6,4.0,6.0,10.0,19.9,No,No
2011-08-08,Brisbane,12.9,23.9,0.0,4.0,10.1,W,31.0,W,WNW,13.0,9.0,61.0,31.0,1014.1,1009.2,6.0,2.0,18.6,23.4,No,No
2017-05-04,Albury,3.5,18.8,0.0,,,ESE,17.0,S,S,2.0,6.0,72.0,46.0,1031.9,1028.5,,,9.5,17.9,No,No
2010-08-14,AliceSprings,12.4,23.9,0.0,7.6,9.6,WSW,39.0,W,WSW,13.0,26.0,33.0,27.0,1015.0,1012.0,7.0,0.0,17.6,23.5,No,No
2014-09-02,WaggaWagga,7.1,15.9,1.4,3.4,8.5,SSE,61.0,WSW,SW,20.0,31.0,83.0,49.0,1014.0,1012.9,6.0,2.0,9.6,14.9,Yes,No
2009-03-28,Woomera,14.4,32.1,0.0,13.2,11.3,SE,31.0,ESE,NNW,11.0,6.0,27.0,10.0,1021.5,1018.3,0.0,0.0,18.9,31.0,No,No
2017-04-09,Richmond,11.4,28.0,0.0,,,WSW,65.0,ENE,N,6.0,24.0,83.0,38.0,1015.4,1006.4,,,18.2,27.2,No,Yes
2008-11-01,Adelaide,12.8,26.2,,,,E,39.0,E,ESE,19.0,11.0,56.0,34.0,1022.3,1018.1,,,15.7,23.8,,Yes
2017-02-14,Tuggeranong,13.2,27.4,0.0,,,E,39.0,S,ESE,13.0,7.0,56.0,29.0,1014.3,1012.0,,,16.5,26.3,No,No
2017-05-30,Nuriootpa,9.3,13.8,2.0,1.9,6.5,WNW,35.0,SW,S,9.0,15.0,87.0,51.0,1028.0,1028.4,3.0,,10.3,12.0,Yes,No
2009-09-11,Watsonia,2.6,22.7,0.2,5.2,9.1,,,NNE,NNE,15.0,20.0,56.0,43.0,1016.7,1010.6,2.0,7.0,13.9,18.6,No,No
2012-08-30,Perth,6.0,22.9,0.0,2.4,10.5,NNE,26.0,ENE,NNE,9.0,11.0,73.0,35.0,1024.0,1019.3,0.0,1.0,14.2,22.6,No,No
2009-03-06,BadgerysCreek,8.6,25.4,0.0,,,E,35.0,SW,NE,9.0,9.0,76.0,39.0,1013.8,1010.8,,,14.8,24.2,No,No
2010-04-07,BadgerysCreek,17.0,24.4,9.8,,,N,24.0,N,N,9.0,17.0,99.0,72.0,1017.1,1012.3,,,17.6,23.3,Yes,Yes
2010-12-03,Moree,20.0,25.2,0.0,4.0,0.0,NE,44.0,NE,N,24.0,24.0,71.0,65.0,1015.5,1012.3,8.0,8.0,22.8,24.2,No,Yes
2011-12-21,Perth,17.4,29.2,0.0,8.0,13.7,WSW,35.0,SSE,SSW,9.0,17.0,54.0,48.0,1012.7,1012.0,0.0,0.0,24.6,27.8,No,No
2013-01-12,PerthAirport,20.2,34.2,0.0,9.4,10.4,ENE,59.0,ENE,E,31.0,19.0,42.0,30.0,1009.8,1007.2,2.0,4.0,25.4,32.7,No,No
2009-08-07,Walpole,6.7,18.5,0.0,,,SSW,20.0,,SSE,0.0,7.0,88.0,67.0,1018.8,1015.5,,,10.1,15.5,No,No
2016-06-05,Katherine,21.6,34.5,0.0,6.2,,E,26.0,E,SSE,17.0,6.0,61.0,,1014.0,1010.0,2.0,,27.3,,No,No
2015-07-01,Penrith,7.2,16.1,2.0,,,NNE,20.0,S,NW,6.0,7.0,96.0,66.0,,,,,10.7,15.4,Yes,No
2014-10-30,NorahHead,15.4,24.9,0.0,,,NNE,33.0,NNW,NE,7.0,17.0,70.0,73.0,1015.6,1012.3,,,21.2,22.6,No,No
2010-11-01,Cobar,9.2,17.7,0.0,3.0,,WSW,44.0,SSW,WSW,7.0,20.0,80.0,45.0,1017.2,1015.4,7.0,7.0,12.4,15.2,No,No
2015-01-01,Townsville,27.6,32.6,0.0,8.0,2.2,ENE,35.0,ENE,NE,20.0,20.0,63.0,71.0,1010.3,1008.3,7.0,7.0,31.3,29.7,No,Yes
2015-04-06,SalmonGums,7.4,20.0,0.0,,,SE,31.0,E,SE,15.0,6.0,68.0,41.0,,,,,14.8,19.2,No,No
2014-11-19,MountGinini,4.6,18.1,0.0,,,W,37.0,W,WNW,6.0,13.0,37.0,35.0,,,,,11.4,17.1,No,No
2014-10-31,Ballarat,5.4,28.8,0.0,,,NNW,59.0,N,NNW,22.0,35.0,75.0,25.0,1009.9,1003.8,8.0,,14.7,28.0,No,Yes
2010-09-26,Adelaide,7.3,18.2,0.0,,7.8,W,28.0,N,W,9.0,15.0,64.0,50.0,1022.4,1018.2,,,13.2,17.1,No,No
2017-04-24,Katherine,19.8,35.0,0.0,6.2,,E,41.0,SE,SE,9.0,24.0,74.0,,1013.0,1009.1,1.0,,26.7,,No,No
2016-04-06,Nhil,13.6,19.4,2.4,,,SW,50.0,WSW,SW,15.0,35.0,85.0,48.0,1017.3,1018.8,,,13.9,18.0,Yes,No
2011-02-02,NorfolkIsland,18.2,25.2,0.0,3.8,9.5,ENE,33.0,E,E,17.0,22.0,69.0,77.0,1023.0,1021.5,6.0,6.0,23.5,23.4,No,No
2010-03-07,MountGinini,12.7,14.5,8.0,,,ENE,65.0,ENE,ENE,30.0,33.0,99.0,99.0,,,,,12.8,13.5,Yes,Yes
2009-02-12,Sale,12.4,19.1,21.0,2.0,4.5,SE,41.0,WSW,E,7.0,17.0,88.0,71.0,1022.4,1023.7,7.0,7.0,13.8,16.4,Yes,Yes
2009-04-09,Brisbane,17.0,25.6,0.0,5.2,4.1,SE,30.0,SSE,E,13.0,13.0,62.0,62.0,1022.6,1020.2,7.0,8.0,23.2,23.6,No,Yes
2010-08-11,Watsonia,4.1,11.2,10.6,1.2,0.3,NW,28.0,NNE,N,6.0,9.0,100.0,98.0,1003.4,998.3,7.0,8.0,8.1,9.6,Yes,Yes
2015-06-22,Dartmoor,5.1,11.8,0.0,1.8,0.0,N,59.0,N,N,30.0,22.0,,,1018.6,1015.7,,,8.1,10.4,No,Yes
2015-09-13,Albany,10.0,15.6,11.4,2.6,7.3,,,S,,22.0,,67.0,,1020.7,1022.1,4.0,,14.0,,Yes,Yes
2010-05-16,Albany,12.0,20.5,0.0,1.0,7.6,,,NW,SSW,7.0,6.0,78.0,60.0,1017.8,1015.7,2.0,6.0,14.5,19.2,No,No
2014-06-03,Nhil,6.6,17.0,0.2,,,WSW,26.0,WSW,W,15.0,19.0,93.0,64.0,1020.6,1019.5,,,11.8,16.8,No,No
2015-08-29,SydneyAirport,9.0,20.9,0.0,4.2,10.8,WNW,35.0,NW,SSW,9.0,11.0,52.0,27.0,1022.6,1017.8,1.0,2.0,14.9,19.9,No,No
2015-08-31,Richmond,7.2,19.9,0.0,8.0,,SE,24.0,SSW,N,4.0,6.0,68.0,44.0,1017.7,1013.4,,8.0,13.3,18.9,No,No
2012-10-08,Albany,12.9,18.4,0.0,4.4,4.4,,,NNE,S,6.0,11.0,74.0,85.0,1023.5,1023.0,6.0,7.0,16.5,16.2,No,No
2015-02-14,Hobart,15.7,20.6,1.0,6.4,0.0,NNE,24.0,NW,SSE,6.0,9.0,83.0,95.0,1025.2,1022.6,8.0,8.0,16.4,18.2,No,Yes
2017-05-24,Ballarat,4.1,13.1,0.4,,,WSW,39.0,WNW,W,17.0,24.0,100.0,68.0,1016.4,1018.0,8.0,6.0,9.2,12.5,No,No
2009-01-10,Williamtown,13.3,24.9,0.0,4.2,10.1,ESE,44.0,NE,ESE,7.0,30.0,57.0,46.0,1016.2,1012.8,6.0,6.0,20.6,22.9,No,No
2013-07-13,Watsonia,4.9,14.9,0.0,2.0,0.0,NE,20.0,ENE,ENE,9.0,7.0,97.0,88.0,1026.8,1023.8,7.0,8.0,9.2,13.7,No,Yes
2017-05-06,Albany,10.5,20.5,0.2,,,,,,,0.0,,91.0,,1029.4,1026.7,4.0,,12.8,,No,No
2012-02-29,Tuggeranong,16.2,19.5,41.2,,,E,28.0,S,SE,13.0,13.0,84.0,75.0,1014.0,1013.6,,,17.0,18.6,Yes,Yes
2010-05-02,Canberra,1.7,21.2,0.0,2.8,10.0,NW,26.0,SSE,NNW,6.0,15.0,87.0,41.0,1026.8,1024.2,1.0,1.0,8.6,20.6,No,No
2016-01-20,PerthAirport,13.9,25.6,3.4,3.1,9.0,WSW,37.0,NNE,W,9.0,24.0,75.0,50.0,1008.5,1007.1,2.0,7.0,19.1,24.4,Yes,No
2009-05-26,SydneyAirport,12.6,23.2,0.0,0.6,8.4,N,28.0,WNW,E,19.0,6.0,86.0,50.0,1022.3,1018.5,5.0,1.0,14.5,22.0,No,No
2013-06-12,SydneyAirport,10.0,16.2,0.0,2.0,1.0,NNW,37.0,NNW,WNW,7.0,17.0,71.0,86.0,1015.1,1009.6,7.0,6.0,13.2,16.0,No,Yes
2011-07-31,Perth,15.4,21.1,25.2,4.0,6.6,W,61.0,W,W,22.0,24.0,90.0,59.0,1007.4,1009.6,7.0,7.0,15.9,17.7,Yes,Yes
2011-06-11,Hobart,7.5,14.6,0.0,1.0,1.2,S,28.0,ESE,SSW,4.0,17.0,89.0,80.0,1028.7,1028.9,,,8.6,12.0,No,No
2011-07-11,Townsville,10.7,24.8,0.0,4.6,10.1,ENE,37.0,SSW,ENE,4.0,28.0,73.0,49.0,1021.6,1017.9,1.0,0.0,18.9,23.1,No,No
2010-11-09,BadgerysCreek,15.1,24.0,12.2,,,NE,26.0,ESE,E,15.0,13.0,85.0,70.0,1025.2,1024.3,,,19.8,22.3,Yes,No
2010-06-28,Brisbane,7.3,20.3,0.0,2.6,,W,22.0,WSW,SSW,6.0,4.0,51.0,43.0,1019.8,1017.0,5.0,1.0,12.5,19.9,No,No
2014-11-16,Nuriootpa,9.7,18.7,9.0,4.3,11.6,WSW,43.0,SW,WSW,24.0,26.0,60.0,44.0,1015.8,1015.7,5.0,4.0,13.4,17.0,Yes,No
2008-04-17,Canberra,5.3,21.0,0.0,4.6,6.3,WNW,26.0,SSW,NW,7.0,7.0,77.0,44.0,1027.2,1023.3,7.0,2.0,12.0,20.4,No,No
2009-11-24,Watsonia,9.0,26.0,0.0,6.0,13.0,SW,28.0,NE,SSW,4.0,13.0,68.0,28.0,1026.7,1022.7,7.0,3.0,14.5,25.7,No,No
2016-06-29,Mildura,1.0,15.7,0.0,1.2,7.8,N,37.0,NNE,N,11.0,19.0,87.0,52.0,1028.3,1023.1,0.0,5.0,5.7,15.0,No,No
2015-06-03,Portland,5.2,11.9,8.6,1.0,1.9,N,20.0,N,NE,9.0,9.0,91.0,72.0,1025.6,1022.3,,8.0,8.1,11.5,Yes,No
2017-01-13,MelbourneAirport,16.7,29.9,1.0,9.2,0.7,NW,61.0,NNE,NNW,20.0,26.0,54.0,71.0,998.6,998.3,7.0,8.0,22.4,24.3,No,Yes
2014-06-23,Wollongong,12.8,16.9,0.0,,,WNW,76.0,NE,N,15.0,19.0,65.0,64.0,1014.2,1007.4,,,15.8,15.6,No,No
2011-05-03,SydneyAirport,13.7,18.5,0.2,2.4,0.0,SSW,50.0,W,SSW,9.0,31.0,88.0,69.0,1015.2,1013.9,8.0,7.0,15.2,18.3,No,No
2016-08-23,MelbourneAirport,5.5,13.7,2.0,1.8,9.2,SSE,31.0,WSW,SSW,7.0,9.0,84.0,44.0,1018.2,1016.9,4.0,3.0,9.9,13.0,Yes,No
2014-12-20,Canberra,10.7,27.4,0.0,,,E,41.0,N,NW,9.0,9.0,69.0,36.0,1016.9,1013.5,8.0,,14.6,25.2,No,No
2015-02-18,Ballarat,13.3,22.3,0.0,,,SSE,48.0,SE,SE,26.0,26.0,84.0,57.0,1019.9,1019.3,8.0,,15.4,20.7,No,No
2012-09-13,PearceRAAF,4.6,21.4,0.0,,11.0,E,48.0,E,SE,20.0,13.0,56.0,40.0,1029.4,1024.9,0.0,0.0,15.3,20.8,No,No
2011-07-30,WaggaWagga,2.6,18.0,0.0,2.2,9.1,E,20.0,E,N,17.0,11.0,68.0,36.0,1024.9,1020.8,2.0,5.0,6.3,17.6,No,Yes
2013-04-17,Townsville,21.7,29.4,0.0,3.2,10.5,ENE,26.0,ESE,NE,9.0,19.0,79.0,68.0,1014.2,1010.4,5.0,,26.2,28.5,No,No
2016-02-18,CoffsHarbour,18.7,30.4,0.0,,,NE,33.0,NW,ESE,13.0,17.0,74.0,69.0,1008.3,1006.3,,,25.4,29.1,No,No
2013-12-24,Darwin,24.1,30.8,5.8,3.0,0.5,E,43.0,NE,NNE,15.0,15.0,84.0,94.0,1008.1,1005.9,7.0,8.0,27.6,26.3,Yes,Yes
2012-10-11,Brisbane,20.9,24.2,0.6,5.8,0.0,W,44.0,N,SW,7.0,4.0,79.0,92.0,1009.1,1007.6,8.0,8.0,22.5,17.1,No,Yes
2012-06-08,Canberra,-5.4,12.4,,3.4,7.7,,,,W,0.0,2.0,93.0,42.0,1027.4,1024.9,0.0,,0.9,11.7,,No
2014-09-16,Portland,11.1,14.9,0.0,2.2,8.6,WSW,44.0,SSW,W,17.0,17.0,67.0,86.0,1014.4,1013.3,,8.0,12.5,12.8,No,Yes
2011-12-29,Nuriootpa,12.0,29.2,0.0,8.0,14.3,SE,41.0,SE,ESE,19.0,17.0,52.0,10.0,1018.0,1015.8,3.0,2.0,18.1,27.5,No,No
2015-12-19,AliceSprings,22.9,35.6,0.0,15.4,10.6,NW,61.0,N,NNE,17.0,20.0,60.0,34.0,1006.9,1002.2,7.0,7.0,26.7,34.3,No,Yes
2015-08-11,AliceSprings,5.5,26.4,0.0,5.4,10.8,W,41.0,WNW,WSW,11.0,26.0,25.0,11.0,1020.2,1016.6,1.0,1.0,15.8,25.6,No,No
2010-03-27,BadgerysCreek,19.1,29.7,0.0,,,SW,28.0,SW,SE,15.0,13.0,69.0,54.0,1020.5,1018.0,,,22.2,28.7,No,No
2010-01-20,AliceSprings,16.0,34.3,0.0,12.0,13.0,ENE,28.0,ENE,ESE,15.0,11.0,19.0,10.0,1012.1,1007.6,0.0,0.0,27.1,33.3,No,No
2010-02-12,AliceSprings,25.6,36.1,0.2,10.2,4.5,W,52.0,SSW,WSW,9.0,13.0,57.0,69.0,1007.2,1002.4,6.0,7.0,27.7,28.1,No,Yes
2014-08-31,SydneyAirport,11.9,19.3,1.2,1.0,9.5,W,39.0,W,ESE,17.0,19.0,63.0,61.0,1021.0,1017.3,1.0,1.0,16.1,18.4,Yes,No
2009-09-03,Sale,3.5,23.9,0.0,3.2,5.1,SW,54.0,E,N,4.0,30.0,82.0,24.0,1013.2,1006.8,6.0,2.0,9.5,23.5,No,Yes
2010-04-02,Ballarat,10.2,17.3,0.2,,,SSE,37.0,SSE,SSE,17.0,24.0,93.0,72.0,1022.6,1021.8,4.0,8.0,11.6,15.3,No,No
2014-04-15,Sydney,13.4,21.9,4.2,3.4,3.5,SSE,50.0,W,S,22.0,28.0,58.0,64.0,1020.7,1018.4,7.0,8.0,17.3,20.8,Yes,Yes
2014-03-28,Hobart,14.1,17.9,3.6,0.8,0.1,SW,31.0,W,NNE,11.0,9.0,93.0,78.0,1012.1,1014.4,,,16.9,16.7,Yes,No
2013-04-14,Penrith,12.3,30.0,0.2,,,N,15.0,N,E,2.0,2.0,83.0,31.0,,,,,18.4,29.4,No,No
2016-05-23,Hobart,9.4,11.3,2.0,2.4,0.0,WSW,63.0,NW,W,9.0,22.0,82.0,58.0,1002.9,1004.5,7.0,8.0,10.9,10.8,Yes,Yes
2012-09-30,Adelaide,8.6,15.9,1.0,7.4,,SSW,35.0,SSW,SSW,13.0,7.0,61.0,79.0,1027.0,1027.1,,,12.9,13.5,No,No
2010-06-08,GoldCoast,12.1,21.8,0.0,,,SE,35.0,S,SE,17.0,26.0,62.0,66.0,1022.0,1018.7,,,18.5,20.1,No,No
